STID,Station Name,State,TimeZone,DayTimeSaving,Latitude,Longitude,Elevation
KCKB,Clarksburg Benedum Airport,WV,E,y,39.29,-80.23,1246.72
KCKC,Grand Marais/Cook County Airport,MN,C,y,47.84,-90.38,1656.82
KCKI,Williamsburg Regional Airport,SC,E,y,33.7172,-79.857,67
KCKL,Centreville,AL,C,y,32.9,-87.25,459.318
KCKM,Fletcher Field Airport,MS,C,y,34.2997,-90.5123,173
KCKN,Crookston Municipal Field,MN,C,y,47.86,-96.62,895.669
KCKP,Cherokee Municipal Airport,IA,C,y,42.732,-95.556,1227.03
KCKV,Outlaw Field Airport,TN,C,y,36.6219,-87.4149,550
KCLE,Cleveland-Hopkins International Airport,OH,E,y,41.42,-81.85,813.976
KCLI,Clintonville Municipal Airport,WI,C,y,44.61,-88.73,823.491
KCLK,Clinton Regional Airport,OK,C,y,35.533,-98.933,1614.17
KCLL,College Station, Easterwood Field,TX,C,y,30.58,-96.37,313.976
KCLM,Port Angeles Intl Airport,WA,P,y,48.12,-123.5,298.556
KCLT,Charlotte/Douglas International Airport,NC,E,y,35.21,-80.94,757.874
KCMA,Camarillo (awos),CA,P,y,34.21,-119.09,75.459
KCMD,Cullman Regional Airport-Folsom Field,AL,C,y,34.269,-86.858,964.567
KCMH,Port Columbus International Airport,OH,E,y,40.01,-82.88,833.005
KCMI,Champaign / Urbana, University of Illinois-Willard,IL,C,y,40.04,-88.28,774.278
KCMR,H.A. Clark Memorial Field Airport,AZ,M,n,35.3055,-112.194,6680
KCMS,Cemetary Separation,WY,M,y,41.53,-109.46,
KCMX,Hancock, Houghton County Memorial Airport,MI,E,y,47.18,-88.5,1074.15
KCMY,Sparta / Fort McCoy Airport,WI,C,y,43.958,-90.738,839.895
KCNB,Canby Myers Field Airport,MN,C,y,44.72,-96.26,1192.91
KCNC,Chariton,IA,C,y,41.03,-93.37,1049.87
KCNI,Cherokee County Airport,GA,E,y,34.3106,-84.4239,1219
KCNK,Concordia, Blosser Municipal Airport,KS,C,y,39.55,-97.65,1469.16
KCNM,Carlsbad/Cavern Cty,NM,M,y,32.34,-104.27,3231.96
KCNO,Chino Airport,CA,P,y,33.97,-117.64,649.606
KCNU,Chanute Martin Johnson Airport,KS,C,y,37.68,-95.48,979.003
KCNY,Moab/Canyonlands,UT,M,y,38.75,-109.75,4553.81
KCOD,Cody/Yellowstone Regional Airport,WY,M,y,44.53,-109.02,5095.14
KCOE,COEUR D'ALENE(AWOS),ID,P,y,47.78,-116.82,2319.55
KCOF,Cocoa Beach / Patrick Air Force Base,FL,E,y,28.23,-80.6,9.843
KCOM,Coleman Municipal Airport,TX,C,y,31.8411,-99.4036,1697
KCON,Concord Municipal Airport,NH,E,y,43.21,-71.5,346.129
KCOQ,Cloquet Automatic Weather Observing / Reporting,MN,C,y,46.71,-92.5,1279.53
KCOS,Colorado Springs,CO,M,y,38.83,-104.72,6201.12
KCOT,Cotulla-La Salle County Airport,TX,C,y,28.45,-99.22,462.927
KCOU,Columbia Regional Airport,MO,C,y,38.83,-92.22,893.045
KCPC,Whiteville-Columbus Co Muni Airport,NC,E,y,34.28,-78.71,98.425
KCPK,Chesapeake Municipal Airport,VA,E,y,36.66,-76.32,19.685
KCPR,Casper/Natrona Intl Airport,WY,M,y,42.93,-106.47,5337.93
KCPS,Cahokia / St. Louis, St. Louis Downtown Airport,IL,C,y,38.58,-90.15,413.386
KCPT,Cleburne Municipal Airport,TX,C,y,32.35,-97.433,853.018
KCPW,Wolf Creek Pass (11,760 feet),CO,M,y,37.464,-106.804,11758.5
KCQB,Chandler Municipal Airport,OK,C,y,35.72,-96.82,984.252
KCQC,Clines Corners,NM,M,y,35,-105.66,7906.82
KCQM,Cook Municipal Airport,MN,C,y,47.82,-92.69,1318.9
KCQT,Los Angeles Downtown/Usc,CA,P,y,34.02,-118.28,270.013
KCQV,Colville Municipal,WA,P,y,48.55,-117.89,1876.64
KCQX,Chatham Municipal Airport,MA,E,y,41.7,-69.99,62.336
KCRE,North Myrtle Beach, Grand Strand Airport,SC,E,y,33.81,-78.72,33.136
KCRG,Jacksonville, Craig Municipal Airport,FL,E,y,30.33,-81.52,39.37
KCRP,Corpus Christi International Airport,TX,C,y,27.77,-97.5,43.963
KCRQ,Carlsbad/Palomar,CA,P,y,33.14,-117.28,328.084
KCRS,Campbell Field-Corsicana Municipal Airport,TX,C,y,32.03,-96.4,446.194
KCRV,Corona Pass (11,608 feet),CO,M,y,40.0503,-105.584,
KCRW,Charleston, Yeager Airport,WV,E,y,38.38,-81.58,1016.08
KCRX,Corinth - Roscoe Turner Airport,MS,C,y,34.915,-88.6035,425
KCSG,Columbus Metropolitan Airport,GA,E,y,32.53,-84.93,387.139
KCSM,Clinton-Sherman Airport,OK,C,y,35.36,-99.2,1922.57
KCSQ,Creston,IA,C,y,41.02,-94.37,1292.65
KCSV,Crossville Memorial-Whitson Field Airport,TN,C,y,35.96,-85.08,1867.13
KCTB,Cut Bank (awos),MT,M,y,48.61,-112.37,3763.12
KCTD,Continental Divide,WY,M,y,41.71,-107.78,
KCTY,Cross City Airport,FL,E,y,29.64,-83.1,38.058
KCTZ,Sampson County Airport,NC,E,y,34.983,-78.367,147.638
KCUB,Jim Hamilton-L.B.Owens Airport,SC,E,y,33.99,-81,211.942
KCUH,Cushing Municipal Airport,OK,C,y,35.95,-96.767,915.354
KCUL,Carmi Municipal Airport,IL,C,y,38.09,-88.123,387.139
KCUT,Custer County Airport,SD,M,y,43.733,-103.618,5600.39
KCVG,Covington / Cincinnati / Northern Kentucky,KY,E,y,39.05,-84.67,886.155
KCVN,Clovis Muni (awos),NM,M,y,34.43,-103.08,4212.6
KCVO,Corvallis Muni Awos,OR,P,y,44.51,-123.29,252.625
KCVS,Cannon AFB/Clovis,NM,M,y,34.39,-103.32,4294.95
KCVX,Charlevoix Municipal Airport,MI,E,y,45.3,-85.27,669.291
KCWA,Mosinee / Central Wisconsin,WI,C,y,44.79,-89.67,1276.25
KCWC,Kickapoo Downtown Airport,TX,C,y,33.858,-98.49,998
KCWF,Chenault Airpark,LA,C,y,30.22,-93.15,16.076
KCWI,Clinton Municipal Automatic Weather Observing,IA,C,y,41.84,-90.34,708.661
KCXL,Calexico International Airport,CA,P,y,0,0,
KCXO,Conroe, Montgomery County Airport,TX,C,y,30.36,-95.41,252.625
KCXY,Harrisburg, Capital City Airport,PA,E,y,40.23,-76.85,348.097
KCYS,Cheyenne/Warren AFB,WY,M,y,41.16,-104.82,6158.14
KCZD,Cozad Municipal Airport,NE,C,y,40.867,-100,2500
KCZK,Cascade Locks State,OR,P,y,45.69,-121.88,150.919
KCZZ,Campo (awrs),CA,P,y,32.62,-116.47,2631.23
KD07,Faith,SD,M,y,45.04,-102.02,2582.02
KD39,Sauk Centre Municipal Airport,MN,C,y,45.7066,-94.9334,1244
KD55,Robertson Field Airport,ND,C,y,48.7531,-98.3937,1608
KD95,Dupont-Lapeer Airport,MI,E,y,43.0665,-83.2715,835
KDAA,Fort Belvoir,VA,E,y,38.73,-77.18,88.911
KDAB,Daytona Beach International Airport,FL,E,y,29.18,-81.05,28.871
KDAG,Barstow-Daggett,CA,P,y,34.88,-116.78,1921.92
KDAL,Dallas Love Field,TX,C,y,32.86,-96.85,439.961
KDAN,Danville Regional Airport,VA,E,y,36.58,-79.33,577.1
KDAW,Rochester, Skyhaven Airport,NH,E,y,43.278,-70.92,321.522
KDAY,Cox Dayton International Airport,OH,E,y,39.91,-84.2,1026.9
KDBN,W H `Bud` Barron Airport,GA,E,y,32.567,-82.983,308.399
KDBQ,Dubuque Regional Airport,IA,C,y,42.41,-90.7,1056.1
KDCA,Washington DC, Reagan National Airport,VA,E,y,38.86,-77.03,16.076
KDCU,Decatur, Pryor Field,AL,C,y,34.66,-86.94,590.551
KDDC,Dodge City Regional Airport,KS,C,y,37.78,-99.97,2594.16
KDDH,Bennington Morse State Airport,VT,E,y,42.89,-73.246,826.772
KDEC,Decatur Airport,IL,C,y,39.84,-88.87,698.819
KDED,Deland Municipal Airport,FL,E,y,29.07,-81.28,80
KDEH,Decorah,IA,C,y,43.28,-91.73,1158.14
KDEN,Denver Intnl Arpt,CO,M,y,39.87,-104.67,5414.04
KDEQ,De Queen, Helms Sevier County Airport,AR,C,y,34.05,-94.4,351.05
KDET,Detroit City Airport,MI,E,y,42.4,-83.017,625
KDEW,Deer Park (was 07s),WA,P,y,47.974,-117.428,2204.72
KDFI,Defiance Memorial Airport,OH,E,y,41.34,-84.43,718.504
KDFW,Dallas / Fort Worth International Airport,TX,C,y,32.91,-97.03,560.039
KDGW,Douglas/Converse County Airport,WY,M,y,42.8,-105.39,4927.82
KDHN,Dothan Airport,AL,C,y,31.32,-85.45,320.866
KDHS,Dead Horse,WY,M,y,44.21,-106.1,
KDHT,Dalhart Municipal Airport,TX,C,y,36.03,-102.55,3990.16
KDIJ,Driggs-Reed Memorial Airport,ID,M,y,43.7417,-111.098,
KDIK,Dickinson Theodore Roosevelt Regional Airport,ND,M,y,46.79,-102.8,2584.97
KDKB,DeKalb Taylor Municipal Airport,IL,C,y,41.93,-88.72,915.354
KDKK,Chautauqua County / Dunkirk Airport,NY,E,y,42.5,-79.28,666.01
KDKR,Houston County Airport,OK,C,y,31.3069,-95.4036,
KDLF,Laughlin Air Force Base Auxiliary Airfield,TX,C,y,29.367,-100.783,1073.16
KDLH,Duluth International Airport,MN,C,y,46.84,-92.18,1423.89
KDLL,Baraboo Wisconsin Dells Airport,WI,C,y,43.522,-89.771,977.69
KDLN,Dillon Airport,MT,M,y,45.26,-112.55,5241.14
KDLP,WEST DELTA, ,C,Y,29.121,89.547,0
KDLS,The Dalles Muni,OR,P,y,45.62,-121.15,240.157
KDMA,Davis-Monthan AFB,AZ,M,n,32.18,-110.88,2618.11
KDMH,Baltimore, Inner Harbor,MD,E,y,39.28,-76.61,19.029
KDMN,Deming Municipal,NM,M,y,32.26,-107.7,4422.57
KDMO,Sedalia Memorial Airport,MO,C,y,38.71,-93.16,908.793
KDMW,Carroll County Regional Airport/Jack B Poage Field,MD,E,y,39.36,-77,240
KDNK,Ft. Polk/Self Strip,LA,C,y,31.1,-93,374.016
KDNL,Augusta, Daniel Field,GA,E,y,33.47,-82.03,419.948
KDNN,Dalton Municipal Airport,GA,E,y,34.72,-84.87,708.661
KDNS,Denison,IA,C,y,41.98,-95.38,1272.97
KDNV,Danville, Vermilion County Airport,IL,C,y,40.2,-87.6,695.538
KDOV,Dover Air Force Base,DE,E,y,39.14,-75.47,22.966
KDPA,Chicago / West Chicago, Dupage Airport,IL,C,y,41.93,-88.25,757.874
KDPG,Dugway Prvg Ground,UT,M,y,40.21,-112.93,4347.11
KDPL,Kenansville, Duplin County Airport,NC,E,y,35,-77.98,137.795
KDQH,Douglas Municipal Airport,GA,E,y,31.477,-82.861,255.906
KDRA,Mercury/Desert Rock,NV,P,y,36.62,-116.02,3300.85
KDRC,Anonymous Wy Ob,WY,M,y,42.83,-105.86,
KDRI,Beauregard Regional Airport,LA,C,y,30.833,-93.333,206.693
KDRM,Drummond Island Airport,MI,C,y,0,0,
KDRO,Durango/La Plata Co,CO,M,y,37.16,-107.75,6686.35
KDRT,Del Rio International Airport,TX,C,y,29.38,-100.92,999.016
KDSM,Des Moines International Airport,IA,C,y,41.54,-93.65,957.021
KDSV,Dansville Municipal Airport,NY,E,y,42.567,-77.717,659.449
KDTL,Detroit Lakes Automatic Weather Observing / Report,MN,C,y,46.83,-95.88,1397.64
KDTN,Shreveport Downtown Airport,LA,C,y,32.53,-93.75,180.446
KDTO,Denton Municipal Airport,TX,C,y,33.2,-97.18,646.325
KDTS,Destin, Ft. Walton Beach Airport,FL,C,y,30.4,-86.47,22.966
KDTW,Detroit Metropolitan Wayne County Airport,MI,E,y,42.23,-83.33,636.155
KDUA,Durant/Eaker Field Airport,OK,C,y,33.94,-96.39,698.819
KDUC,Duncan/Halliburton Field Airport,OK,C,y,34.47,-97.96,1112.2
KDUG,Douglas Bisbee Intl Airport,AZ,M,n,31.45,-109.6,4136.15
KDUH,Toledo Suburban Airport,MI,E,y,41.73,-83.65,669.291
KDUJ,DuBois Regional Airport,PA,E,y,41.19,-78.9,1813.98
KDUX,Moore County Airport,TX,C,y,35.85,-102.017,3704.07
KDVK,Stuart Powell Field Airport,KY,E,Y,37.5779,-84.7697,1022
KDVL,Devils Lake Automatic Weather Observing/Reporting,ND,C,y,48.12,-98.9,1453.41
KDVN,Davenport Municipal Airport,IA,C,y,41.62,-90.58,753
KDVO,Novato/Gnoss Field Airport,CA,P,Y,38.1436,-122.556,100
KDVP,Slayton Municipal Airport,MN,C,y,43.987,-95.783,1624.02
KDVT,Deer Valley/Phoenix,AZ,M,n,33.69,-112.08,1476.38
KDWH,Houston, Hooks Memorial Airport,TX,C,y,30.07,-95.55,150.919
KDXR,Danbury Municipal Airport,CT,E,y,41.37,-73.48,456.037
KDXX,Madison-Lac Qui Parle County Airport,MN,C,y,44.99,-96.18,1082.68
KDXZ,St George Municipal Airport,UT,M,y,37.0364,-113.51,2884
KDYB,Summerville Airport,SC,E,Y,33.0634,-80.2793,56
KDYL,Doylestown Airport,PA,E,y,40.33,-75.12,393.701
KDYR,Dyersburg Automatic Weather Observing / Reporting,TN,C,y,36.03,-89.4,336.942
KDYS,Abilene, Dyess Air Force Base,TX,C,y,32.417,-99.85,1791.01
KDYT,Sky Harbor Airport,MN,C,y,46.72,-92.04,610.236
KDZJ,Blairsville Airport,GA,E,y,34.8544,-83.9973,1911
KE11,Andrews County Airport,TX,C,y,32.3311,-102.53,3174
KE12,East Cameron 345,LA,C,y,28.083,-92.7,0
KE33,Chama,NM,M,y,36.91,-106.57,7851.05
KE38,Casparis Municipal Airport,TX,C,y,30.384,-103.684,4514.44
KE80,Alexander Municipal (Belen),NM,M,y,34.645,-106.834,5194
KEAR,Kearney Municipal Automatic Weather Observing,NE,C,y,40.73,-99,2129.26
KEAT,Wenatchee/Pangborn,WA,P,y,47.41,-120.2,1243.44
KEAU,Eau Claire, Chippewa Valley Regional Airport,WI,C,y,44.88,-91.48,890.092
KEBG,Edinburg Intl Airport,TX,C,y,26.442,-98.129,78.74
KEBS,Webster City,IA,C,y,42.43,-93.87,1122.05
KECG,Elizabeth City Coast Guard Air Sta,NC,E,y,36.26,-76.17,13.123
KECP,Northwest Florida - Panama City International Airp,FL,C,y,30.3582,-85.7956,69
KECU,Edwards County Airport,TX,C,y,29.95,-100.167,2372.05
KEDC,Austin Executive Airport,TX,C,y,30.3975,-97.5664,620
KEDE,Edenton, Northeastern Regional Airport,NC,E,y,36.03,-76.57,19.685
KEDW,Edwards AFB,CA,P,y,34.91,-117.87,2315.95
KEED,Needles Airport,CA,P,y,34.78,-114.62,914.042
KEEN,Keene / Dillant Automatic Weather Observing/Report,NH,E,y,42.91,-72.27,501.969
KEEO,Meeker,CO,M,y,40.04,-107.89,6391.08
KEET,Calera, Shelby County Airport,AL,C,y,33.18,-86.78,583.99
KEFC,Belle Fourche Municipal Airport,SD,M,y,44.71,-103.8,269.029
KEFD,Houston / Ellington,TX,C,y,29.62,-95.17,39.042
KEFK,Burlington International Airport(BVT),Ve,E,y,44.96,-72.23,732
KEFT,Monroe Municipal Airport,WI,C,y,42.61,-89.59,1085.96
KEGE,Eagle Co. Regional,CO,M,y,39.66,-106.92,6497.05
KEGV,Eagle River Union Airport,WI,C,y,45.93,-89.27,1640.42
KEHA,Elkhart Automatic Weather Observing / Reporting,KS,C,y,37.01,-101.88,3605.64
KEHC,EAST CAMERON 278, ,C,Y,28.642,89.794,0
KEHO,Shelby Municipal Airport,NC,E,y,35.25,-81.6,846.457
KEHR,Henderson City,KY,C,y,37.82,-87.69,383.858
KEIK,Erie Municipal Airport,CO,M,y,40.01,-105.05,5130
KEKA,Eureka,CA,P,y,40.8,-124.167,59.055
KEKM,Elkhart Municipal,IN,E,y,41.73,-86,797.244
KEKN,Elkins-Randolph County-Jennings Randolph Field,WV,E,y,38.89,-79.85,1948.16
KEKO,Elko,NV,P,y,40.825,-115.792,5080.05
KEKQ,Wayne County Airport,KY,E,y,36.855,-84.856,962.927
KELD,El Dorado, So. Arkansas Regional at Goodwin Field,AR,C,y,33.23,-92.8,251.969
KELM,Elmira / Corning Regional Airport,NY,E,y,42.18,-76.9,955.052
KELN,Ellensburg/Bowers,WA,P,y,47.03,-120.53,1729
KELO,Ely Municipal Automatic Weather Observing / Report,MN,C,y,47.91,-91.82,1492.78
KELP,El Paso International Airport,TX,M,y,31.8,-106.4,3917
KELY,Ely/Yelland Field,NV,P,y,39.295,-114.845,6262.14
KELZ,Wellsville Municipal Airport,NY,E,y,42.1,-77.983,2119.42
KEMP,Emporia,KS,C,y,38.34,-96.2,1208.99
KEMT,El Monte,CA,P,y,34.09,-118.03,295.276
KEMV,Emporia-Greensville Reg Airport,VA,E,y,36.69,-77.48,127.953
KEND,Vance Air Force Base / Enid,OK,C,y,36.333,-97.917,1338.58
KENL,Centralia Municipal Airport,IL,C,y,38.52,-89.08,534.777
KENV,Wendover (aut),UT,M,y,40.73,-114.03,4238.85
KENW,Kenosha Regional Airport,WI,C,y,42.59,-87.94,761.155
KEOK,Keokuk Municipal,IA,C,y,40.47,-91.43,672.572
KEPH,Ephrata Municipal,WA,P,y,47.33,-119.52,1266.08
KEQY,Monroe Airport,NC,E,y,35.017,-80.617,679.134
KERI,Erie International Airport,PA,E,y,42.08,-80.18,729.987
KERV,Kerrville,TX,C,y,29.98,-99.08,1617.45
KERY,Newberry, Luce County Airport,MI,E,y,46.31,-85.46,869.423
KESC,Escanaba-Delta County Airport,MI,E,y,45.73,-87.08,613.517
KESF,Alexandria Esler Regional Airport,LA,C,y,31.4,-92.3,111.877
KESN,Easton/Newman Field Airport,MD,E,y,38.8,-76.067,72.178
KEST,Estherville Municipal Airport,IA,C,y,43.4,-94.75,1315.62
KETB,West Bend Municipal Airport,WI,C,y,43.44,-88.13,885.827
KETC,Tarboro-Edgecombe Airport,NC,E,y,35.9373,-77.5465,53
KETH,Wheaton NDB Automatic Weather Observing/Reporting,MN,C,y,45.71,-96.5,1026.9
KEUG,Eugene/Mahlon Sweet,OR,P,y,44.12,-123.22,354.987
KEUL,Caldwell,ID,M,y,43.64,-116.64,2427.82
KEVB,New Smyrna Beach Municipal Airport,FL,E,y,29.05,-80.95,9.843
KEVM,Eveleth Municipal Automatic Weather Observing,MN,C,y,47.41,-92.5,1381.23
KEVV,Evansville Regional Airport,IN,C,y,38.05,-87.53,380.906
KEVW,Evanston/Burns,WY,M,y,41.27,-111.03,7162.07
KEWB,New Bedford Regional Airport,MA,E,y,41.69,-70.97,82.021
KEWK,Newton Automatic Weather Observing / Reporting Sys,KS,C,y,38.05,-97.29,1532.15
KEWN,New Bern, Craven County Regional Airport,NC,E,y,35.09,-77.05,16.076
KEWR,Newark International Airport,NJ,E,y,40.71,-74.17,9.843
KEXX,Lexington, Davidson County Airport,NC,E,y,35.783,-80.3,731.627
KEYE,Indianapolis, Eagle Creek Airpark,IN,E,y,39.825,-86.296,820.21
KEYF,Elizabethtown-Curtis L Brown Field Airport,NC,E,y,34.602,-78.579,131.234
KEYW,Key West Airport,FL,E,y,24.55,-81.75,3.937
KEZS,Shawano Municipal Airport,WI,C,Y,44.7873,-88.56,813
KF05,Vernon,TX,C,y,34.226,-99.284,1266.4
KF24,Minden Airport,LA,C,y,32.646,-93.2981,278
KF39,Sherman-Denison,TX,C,y,33.717,-96.667,748.031
KFAF,Fort Eustis / Felker,VA,E,y,37.14,-76.62,22.966
KFAK,Nebraska City,NE,C,y,40.6069,-95.8644,1162
KFAM,Farmington Airport,MO,C,y,37.76,-90.43,898.95
KFAR,Fargo, Hector International Airport,ND,C,y,46.91,-96.8,899.934
KFAT,Fresno Air Terminal,CA,P,y,36.78,-119.72,333.005
KFAY,Fayetteville Regional Airport,NC,E,y,34.99,-78.88,193.57
KFBG,Fort Bragg / Simmons Army Airfield,NC,E,y,35.14,-78.93,246.063
KFBL,Faribault Municipal Automatic Weather Observing,MN,C,y,44.34,-93.31,1056.43
KFCA,Kalispell/Glacier,MT,M,y,48.3,-114.27,2971.13
KFCG,Florence,OR,P,y,0,0,
KFCM,Minneapolis, Flying Cloud Airport,MN,C,y,44.84,-93.47,928.478
KFCS,Fort Carson/Butts,CO,M,y,38.69,-104.77,5871.06
KFDK,Frederick Municipal Airport,MD,E,y,39.418,-77.374,308.071
KFDR,Frederick Municipal Airport,OK,C,y,34.35,-98.98,1236.88
KFDY,Findlay Airport,OH,E,y,41.03,-83.67,799.869
KFEP,Albertus Airport,IL,C,y,42.25,-89.58,859.58
KFET,Fremont Municipal Airport,NE,C,y,41.45,-96.53,1243.44
KFFA,First Flight Airport,NC,E,y,36.017,-75.667,13.123
KFFC,Atlanta, Peachtree City-Falcon Field,GA,E,y,33.35,-84.56,808
KFFL,Fairfield,IA,C,y,41.05,-91.98,800.525
KFFM,Fergus Falls Automatic Weather Observing/Reporting,MN,C,y,46.3,-96.07,1184.38
KFFO,Dayton / Wright-Patterson Air Force Base,OH,E,y,39.84,-84.05,819.882
KFFT,Frankfort, Capital City Airport,KY,E,y,38.18,-84.9,803.806
KFFX,Fremont Municipal Airport,MI,E,y,43.26,-85.594,722
KFFZ,Mesa/Falcon Field,AZ,M,n,33.46,-111.73,1391.08
KFGN,Flag Island,MN,C,y,49.32,-94.88,1076.11
KFHB,Fernandina Beach Municipal Airport,FL,E,y,30.6118,-81.4612,16
KFHR,Friday Harbor,WA,P,y,48.52,-123.02,108.268
KFHU,Fort Huachuca/Libby,AZ,M,n,31.58,-110.33,4665.03
KFIG,Clearfield-Lawrence Airport,PA,E,y,41.047,-78.412,1515.75
KFIR,First Divide,WY,M,y,41.29,-110.77,
KFIT,Fitchburg Municipal Airport,MA,E,y,42.55,-71.76,348.097
KFKA,Preston-Fillmore Co Airport,MN,C,y,43.677,-92.18,1276.25
KFKL,Franklin Automatic Weather Observing / Reporting,PA,E,y,41.39,-79.87,1541.99
KFKN,Franklin / J B Rose,VA,E,y,36.7,-76.9,39.042
KFKS,Frankfort,MI,C,y,44.617,-86.2,633.202
KFLD,Fond Du Lac County Airport,WI,C,y,43.77,-88.49,807.087
KFLG,Flagstaff (amos),AZ,M,n,35.14,-111.67,6993.11
KFLL,Fort Lauderdale / Hollywood Intl Airport,FL,E,y,26.07,-80.15,7.874
KFLO,Florence Regional Airport,SC,E,y,34.19,-79.72,145.997
KFLP,Flippin Automatic Weather Observing/Reporting Sys,AR,C,y,36.29,-92.59,1148.29
KFME,Ft Meade/Tipton,MD,E,y,39.083,-76.767,0
KFMH,Cape Cod Coast Guard Air Station,MA,E,y,41.66,-70.52,131.234
KFMN,Farmington Regional,NM,M,y,36.76,-108.23,5495.08
KFMY,Fort Myers, Page Field,FL,E,y,26.58,-81.87,15.092
KFNB,Falls City, Brenner Field Airport,NE,C,y,40.08,-95.58,984.252
KFNL,Fort Collins (awos),CO,M,y,40.46,-105.01,5016.4
KFNT,Flint, Bishop International Airport,MI,E,y,42.98,-83.73,766.076
KFOA,Flora Municipal Airport,IL,C,y,38.67,-88.45,472.441
KFOD,Fort Dodge,IA,C,y,42.55,-94.18,1164.7
KFOE,Topeka, Forbes Field,KS,C,y,38.96,-95.67,1063.98
KFOK,Westhampton Beach, The Gabreski Airport,NY,E,y,40.84,-72.63,66.929
KFOZ,Bigfork Municipal Airport,MN,C,y,47.78,-93.65,1348.43
KFPK,Fitch Beach Airport,MI,E,y,42.57,-84.81,889.108
KFPR,Fort Pierce, St. Lucie County Intl Airport,FL,E,y,27.5,-80.37,22.966
KFQD,Rutherfordton/Rutherford Co-Marchman Field Airport,NC,E,y,35.43,-81.94,1079.4
KFRG,Farmingdale, Republic Airport,NY,E,y,40.73,-73.41,85.302
KFRI,Fort Riley,KS,C,y,39.05,-96.767,1062.99
KFRM,Fairmont Municipal Automatic Weather Observing,MN,C,y,43.66,-94.42,1161.42
KFSD,Sioux Falls, Foss Field,SD,C,y,43.59,-96.74,1434.06
KFSE,Fosston Automatic Weather Observing/Reporting Sys,MN,C,y,47.593,-95.773,1272.97
KFSI,Fort Sill,OK,C,y,34.65,-98.383,1204.07
KFSM,Fort Smith Regional Airport,AR,C,y,35.34,-94.37,449.147
KFSO,Franklin County State Airport,VT,E,y,44.9403,-73.0975,228
KFST,Fort Stockton-Pecos County Airport,TX,C,y,30.91,-102.91,3087.27
KFSW,Fort Madison,IA,C,y,40.67,-91.33,725.066
KFTG,Front Range Airport,CO,M,y,39.785,-104.543,5606.96
KFTK,Fort Knox,KY,E,y,37.9,-85.967,784.121
KFTW,Fort Worth, Meacham International Airport,TX,C,y,32.83,-97.35,687.008
KFTY,Atlanta, Fulton County Airport-Brown Field,GA,E,y,33.78,-84.52,862.861
KFUL,Fullerton Municipal,CA,P,y,33.87,-117.98,95.144
KFVE,Frenchville, Northern Aroostook Regional Airport,ME,E,y,47.29,-68.32,1013.78
KFVX,Farmville,VA,E,y,37.35,-78.43,410.105
KFWA,Fort Wayne International Airport,IN,E,y,41.01,-85.2,816.929
KFWC,Fairfield Municipal Airport,IL,C,y,38.38,-88.42,436.352
KFWN,Sussex Airport,NJ,E,y,41.21,-74.63,419.948
KFWS,Fort Worth Spinks Airport,TX,C,y,32.51,-97.3,764.436
KFXE,Fort Lauderdale Executive Airport,FL,E,y,26.2,-80.17,13.123
KFXY,Forest City Municipal Airport,IA,C,y,43.235,-93.624,1230
KFYJ,Middle Peninsula Regional Airport,VA,E,y,37.517,-76.767,22.966
KFYV,Fayetteville, Drake Field,AR,C,y,36.01,-94.17,1250.98
KFZY,Fulton, Oswego County Airport,NY,E,y,43.36,-76.39,475.722
KGAD,Gadsden Municipal Automatic Weather Observing,AL,C,y,33.97,-86.09,567.585
KGAG,Gage Airport,OK,C,y,36.3,-99.77,2190.95
KGAI,Montgomery County Airpark,MD,E,Y,39.1683,-77.166,538
KGAO,South Lafourche Airport,LA,C,y,29.4447,-90.2611,
KGAR,Garibaldi,OR,P,y,0,0,
KGBD,Great Bend Automatic Weather Observing / Reporting,KS,C,y,38.34,-98.86,1886.48
KGBG,Galesburg Municipal Airport,IL,C,y,40.94,-90.43,764.436
KGBN,Gila Bend (aaf),AZ,M,n,32.89,-112.72,853.018
KGCC,Gillette,WY,M,y,44.36,-105.53,4035.43
KGCD,Grant County Regional Airport/Ogilvie Field,OR,P,y,44.4029,-118.968,3703
KGCK,Garden City Regional Airport,KS,C,y,37.94,-100.72,2881.89
KGCM,Claremore Regional Airport,OK,C,y,36.29,-95.48,725.066
KGCN,Grand Canyon Park,AZ,M,n,35.96,-112.15,6774.93
KGDB,Granite Falls Municipal Airport,MN,C,y,44.7533,-95.556,1047
KGDJ,Granbury Municipal Airport,TX,C,y,32.444,-97.817,777.559
KGDP,Pine Springs, Guadalupe Mountains National Park,TX,C,y,31.83,-104.8,5456.04
KGDV,Glendive(awos),MT,M,y,47.14,-104.8,2457.35
KGED,Georgetown, Sussex County Airport,DE,E,y,38.7,-75.36,52.493
KGEG,Spokane Intl Arpt,WA,P,y,47.62,-117.53,1952.1
KGEU,Glendale,AZ,M,n,33.53,-112.3,1066.27
KGEV,Jefferson, Ashe County Airport,NC,E,y,36.43,-81.42,3179.13
KGEY,Greybull/S Big Horn Airport,WY,M,y,44.52,-108.08,3933.73
KGEZ,Shelbyville Municipal Airport,IN,E,y,39.596,-85.8,803.806
KGFA,Malmstrom Air Morce Base,MT,M,y,47.517,-111.183,3464.9
KGFK,Grand Forks International Airport,ND,C,y,47.96,-97.18,838.911
KGFL,Glens Falls, Warren County Airport,NY,E,y,43.36,-73.62,320.866
KGGE,Georgetown County Airport,SC,E,y,33.3114,-79.3203,40
